title,url
LẠ LÙNG (Strange) / Vũ. (Original),https://www.youtube.com/watch?v=F5tS5m86bOI
BƯỚC QUA MÙA CÔ ĐƠN (Walking Through the Lonely Season) / Vũ. (Official MV),https://www.youtube.com/watch?v=n6Pnzi6r9NU
Nàng Thơ | Hoàng Dũng | Official MV,https://www.youtube.com/watch?v=Zzn9-ATB9aU
Có Chàng Trai Viết Lên Cây - Phan Mạnh Quỳnh | MẮT BIẾC OST,https://www.youtube.com/watch?v=0VC6euBtKkk
Và Thế Là Hết - Chillies (Original),https://www.youtube.com/watch?v=ilB9h1pfjc8
Ngọt - Cho Tôi Đi Theo,https://www.youtube.com/watch?v=U07kJZp5b1o
Da LAB - Một Nhà (Official Lyric Video),https://www.youtube.com/watch?v=TKlXc3iywoM
Orange - 'Em Hát Ai Nghe' Official M/V,https://www.youtube.com/watch?v=wssbBe_t-r4
Hà Anh Tuấn - Tháng Tư Là Lời Nói Dối Của Em (Official MV),https://www.youtube.com/watch?v=UCXao7aTDQM
An Thần (ft. Thắng) | Low G | Rap Nhà Làm,https://www.youtube.com/watch?v=J7eYhM6wXPo
